,ID,Gender,Ever_Married,Graduated,Profession,Spending_Score,Family_Size,Var_1,Segmentation,Age,Work_Experience
26,467604,Male,No,No,Healthcare,Low,8.0,Cat_4,A,31.0,9.0
27,459717,Male,Yes,Yes,Artist,Average,3.0,Cat_6,C,49.0,1.0
28,465882,Male,No,Yes,Artist,Low,1.0,Cat_6,B,35.0,0.0
29,461996,Female,No,No,Artist,Low,4.0,Cat_6,C,35.0,5.0
30,463331,Female,Yes,Yes,Artist,Low,3.0,Cat_6,C,45.0,0.0
31,462216,Female,Yes,No,Doctor,Low,2.0,Cat_4,A,42.0,1.0
32,462454,Male,No,No,Healthcare,Low,3.0,Cat_2,D,19.0,1.0
34,459861,Female,Yes,No,Lawyer,High,2.0,Cat_6,D,83.0,1.0
35,467917,Female,No,Yes,Healthcare,Low,4.0,Cat_1,D,27.0,3.0
36,465572,Male,No,No,Doctor,Low,1.0,Cat_4,D,32.0,5.0
37,460593,Female,Yes,No,Healthcare,Average,5.0,Cat_3,D,28.0,1.0
38,465891,Female,Yes,Yes,Artist,Low,2.0,Cat_6,A,28.0,8.0
39,467442,Male,Yes,Yes,Artist,Average,2.0,Cat_6,C,56.0,0.0
40,462044,Female,No,Yes,Artist,Low,1.0,Cat_6,B,47.0,4.0
41,465686,Female,No,No,Healthcare,Low,2.0,Cat_6,D,22.0,0.0
42,464590,Female,No,Yes,Artist,Low,3.0,Cat_6,A,27.0,14.0
44,466152,Male,Yes,No,Engineer,Low,1.0,Cat_6,A,40.0,8.0
45,463156,Female,Yes,No,Lawyer,High,2.0,Cat_6,A,79.0,3.0
46,465729,Male,Yes,Yes,Artist,Average,4.0,Cat_4,B,41.0,0.0
47,462384,Female,No,Yes,Healthcare,Low,1.0,Cat_7,A,29.0,0.0
48,462442,Male,No,No,Healthcare,Low,4.0,Cat_6,D,19.0,0.0
49,464191,Female,No,Yes,Engineer,Low,1.0,Cat_6,A,45.0,1.0
50,462078,Female,Yes,No,Artist,Average,2.0,Cat_2,B,61.0,1.0
51,467873,Female,Yes,Yes,Artist,Average,2.0,Cat_6,C,36.0,1.0
52,461270,Male,Yes,Yes,Artist,Low,1.0,Cat_3,A,40.0,1.0
53,462960,Female,Yes,Yes,Entertainment,Average,2.0,Cat_6,C,57.0,0.0
54,464961,Male,Yes,No,Marketing,Low,1.0,Cat_4,A,76.0,1.0
55,462110,Male,Yes,Yes,Artist,Average,2.0,Cat_6,B,32.0,14.0
56,465769,Male,No,Yes,Healthcare,Low,4.0,Cat_6,D,25.0,9.0
58,465269,Female,Yes,Yes,Artist,Average,3.0,Cat_3,C,45.0,1.0
60,461891,Male,Yes,Yes,Artist,Average,2.0,Cat_6,C,48.0,0.0
61,466935,Male,Yes,Yes,Artist,Average,2.0,Cat_1,C,55.0,9.0
62,464091,Male,Yes,Yes,Lawyer,High,3.0,Cat_6,D,74.0,0.0
63,464535,Male,Yes,Yes,Lawyer,High,2.0,Cat_6,A,56.0,1.0
64,463108,Male,Yes,Yes,Lawyer,High,2.0,Cat_6,A,59.0,7.0
65,461356,Male,No,Yes,Entertainment,Low,2.0,Cat_6,A,25.0,0.0
66,464570,Male,Yes,Yes,Doctor,Average,2.0,Cat_6,A,31.0,0.0
67,464580,Male,No,No,Artist,Low,4.0,Cat_6,A,27.0,8.0
68,465233,Male,Yes,Yes,Artist,Average,4.0,Cat_6,B,57.0,0.0
69,467208,Female,Yes,Yes,Homemaker,High,2.0,Cat_6,A,39.0,1.0
70,459954,Male,Yes,Yes,Healthcare,Low,2.0,Cat_6,D,27.0,8.0
71,460219,Female,Yes,Yes,Entertainment,Average,2.0,Cat_6,A,51.0,8.0
72,460877,Female,Yes,No,Artist,Average,5.0,Cat_6,B,47.0,0.0
73,460191,Female,No,No,Healthcare,Low,4.0,Cat_6,D,33.0,8.0
74,463742,Male,Yes,Yes,Artist,Average,4.0,Cat_6,C,56.0,0.0
75,463691,Female,No,No,Homemaker,Low,3.0,Cat_6,B,33.0,0.0
76,463250,Female,No,Yes,Doctor,Low,2.0,Cat_6,D,36.0,0.0
77,463952,Male,Yes,No,Artist,Low,3.0,Cat_4,A,51.0,4.0
78,461558,Male,Yes,Yes,Engineer,Average,2.0,Cat_6,C,45.0,2.0
80,465379,Male,No,No,Healthcare,Low,4.0,Cat_6,C,30.0,0.0
81,463814,Female,No,No,Healthcare,Low,3.0,Cat_5,D,26.0,6.0
82,466938,Male,Yes,Yes,Artist,Low,1.0,Cat_6,A,63.0,8.0
83,460671,Male,Yes,No,Entertainment,Average,4.0,Cat_3,B,35.0,8.0
84,462204,Female,No,No,Marketing,Low,3.0,Cat_4,A,19.0,1.0
85,461671,Male,No,No,Healthcare,Low,5.0,Cat_6,D,32.0,7.0
86,459384,Male,Yes,Yes,Artist,Average,3.0,Cat_6,C,52.0,0.0
87,459905,Female,Yes,Yes,Artist,Low,2.0,Cat_6,C,36.0,5.0
88,464734,Female,No,No,Entertainment,Low,3.0,Cat_4,D,42.0,7.0
89,464125,Male,Yes,No,Doctor,Average,2.0,Cat_3,D,40.0,0.0
90,467434,Male,No,Yes,Entertainment,Low,3.0,Cat_1,B,39.0,0.0
91,460956,Female,Yes,Yes,Artist,Average,4.0,Cat_3,C,47.0,1.0
92,465179,Female,Yes,Yes,Artist,High,2.0,Cat_6,C,61.0,1.0
93,463338,Male,Yes,No,Entertainment,Low,2.0,Cat_3,D,32.0,1.0
94,467066,Male,Yes,No,Artist,Low,1.0,Cat_6,B,55.0,0.0
95,463845,Male,Yes,Yes,Artist,Average,1.0,Cat_6,D,58.0,1.0
96,459976,Female,No,Yes,Artist,Low,1.0,Cat_6,D,38.0,0.0
97,461334,Male,Yes,Yes,Artist,High,2.0,Cat_6,C,63.0,0.0
98,465108,Male,Yes,Yes,Doctor,Average,2.0,Cat_6,C,58.0,1.0
99,462600,Male,Yes,No,Engineer,Average,3.0,Cat_4,D,30.0,3.0
100,464144,Male,Yes,Yes,Artist,Average,4.0,Cat_6,C,60.0,0.0
101,466911,Male,Yes,No,Executive,High,7.0,Cat_6,B,68.0,1.0
102,462806,Male,Yes,No,Artist,Low,3.0,Cat_4,A,52.0,0.0
103,463426,Male,Yes,No,Executive,High,5.0,Cat_6,A,38.0,0.0
104,464065,Female,Yes,Yes,Healthcare,Low,2.0,Cat_6,B,35.0,10.0
105,462979,Male,No,No,Doctor,Low,2.0,Cat_6,D,18.0,1.0
106,462834,Male,Yes,Yes,Homemaker,Low,2.0,Cat_1,D,30.0,3.0
107,460764,Male,No,No,Lawyer,Low,1.0,Cat_6,D,86.0,1.0
109,460185,Male,No,No,Healthcare,Low,3.0,Cat_6,D,25.0,9.0
110,459749,Male,Yes,Yes,Entertainment,Low,4.0,Cat_4,A,59.0,5.0
111,464406,Female,No,Yes,Artist,Low,1.0,Cat_6,A,39.0,0.0
113,462059,Male,No,Yes,Artist,Low,1.0,Cat_6,C,47.0,1.0
114,467905,Male,Yes,Yes,Executive,High,3.0,Cat_6,D,43.0,0.0
115,461177,Male,Yes,No,Executive,Average,4.0,Cat_1,B,36.0,8.0
116,460765,Male,Yes,No,Lawyer,Low,1.0,Cat_6,D,80.0,1.0
117,465386,Male,No,Yes,Artist,Low,2.0,Cat_2,C,36.0,0.0
119,462332,Female,Yes,Yes,Artist,High,2.0,Cat_7,A,37.0,1.0
120,464481,Male,Yes,Yes,Executive,High,3.0,Cat_6,C,46.0,0.0
121,461011,Male,Yes,No,Executive,High,4.0,Cat_3,B,55.0,1.0
122,464749,Female,Yes,No,Engineer,Average,4.0,Cat_4,B,47.0,9.0
123,461094,Female,No,Yes,Healthcare,Low,3.0,Cat_3,D,28.0,1.0
124,462104,Male,Yes,No,Entertainment,Low,2.0,Cat_3,D,39.0,9.0
125,464524,Female,Yes,No,Marketing,Low,2.0,Cat_6,A,27.0,1.0
127,461787,Male,Yes,Yes,Artist,Average,2.0,Cat_6,C,72.0,0.0
128,467857,Female,Yes,Yes,Engineer,Low,2.0,Cat_6,A,28.0,0.0
129,460153,Male,No,Yes,Entertainment,Low,5.0,Cat_6,C,35.0,8.0
130,465215,Male,Yes,Yes,Executive,High,5.0,Cat_2,A,39.0,9.0
131,466746,Female,Yes,Yes,Lawyer,High,2.0,Cat_6,C,69.0,0.0
132,464857,Male,No,No,Healthcare,Low,4.0,Cat_4,D,18.0,6.0
133,459478,Male,Yes,Yes,Artist,Low,1.0,Cat_6,A,46.0,3.0
134,460723,Female,Yes,Yes,Engineer,High,2.0,Cat_4,B,50.0,1.0
135,459853,Male,No,No,Executive,Low,5.0,Cat_6,A,30.0,5.0
136,459390,Female,No,No,Artist,Low,2.0,Cat_6,B,41.0,2.0
137,460410,Female,No,Yes,Artist,Low,4.0,Cat_6,D,39.0,3.0
138,463823,Female,No,No,Marketing,Low,4.0,Cat_6,D,29.0,8.0
139,462008,Female,Yes,Yes,Artist,Low,4.0,Cat_5,B,37.0,4.0
140,459750,Female,Yes,Yes,Engineer,Average,2.0,Cat_6,A,39.0,0.0
141,459880,Female,Yes,Yes,Artist,Average,5.0,Cat_7,C,48.0,0.0
142,459261,Female,No,Yes,Doctor,Low,3.0,Cat_6,C,32.0,0.0
144,465395,Female,Yes,No,Engineer,Average,5.0,Cat_4,B,43.0,0.0
145,461631,Male,No,No,Marketing,Low,5.0,Cat_6,C,29.0,8.0
146,464904,Female,Yes,No,Engineer,Average,2.0,Cat_4,A,28.0,9.0
147,461740,Male,Yes,Yes,Lawyer,Low,1.0,Cat_6,B,80.0,1.0
148,467092,Female,No,Yes,Healthcare,Low,4.0,Cat_6,D,28.0,7.0
149,464173,Male,Yes,Yes,Artist,Average,3.0,Cat_6,C,71.0,6.0
150,464972,Male,Yes,No,Lawyer,High,9.0,Cat_4,A,67.0,0.0
151,467959,Female,No,No,Engineer,Low,1.0,Cat_2,A,26.0,0.0
152,467688,Female,Yes,Yes,Engineer,Average,2.0,Cat_6,C,47.0,0.0
153,460043,Female,Yes,Yes,Artist,Average,2.0,Cat_6,B,43.0,2.0
154,466590,Female,No,Yes,Healthcare,Low,4.0,Cat_6,C,27.0,0.0
155,461191,Female,Yes,Yes,Marketing,Low,4.0,Cat_6,D,45.0,8.0
156,465662,Male,Yes,No,Executive,Low,1.0,Cat_6,C,76.0,1.0
157,459231,Female,Yes,Yes,Artist,Average,4.0,Cat_6,C,43.0,3.0
158,466495,Female,Yes,Yes,Lawyer,High,2.0,Cat_6,B,78.0,1.0
159,459192,Male,Yes,Yes,Artist,Average,3.0,Cat_6,C,35.0,3.0
160,465710,Female,No,Yes,Artist,Low,1.0,Cat_6,C,49.0,1.0
161,460258,Female,No,Yes,Healthcare,Low,5.0,Cat_6,D,25.0,1.0
162,462813,Male,Yes,No,Executive,Average,5.0,Cat_6,A,37.0,0.0
164,467768,Male,Yes,Yes,Doctor,Average,2.0,Cat_6,C,60.0,0.0
165,465291,Female,Yes,Yes,Artist,Average,3.0,Cat_6,C,45.0,5.0
166,462996,Female,Yes,Yes,Homemaker,Average,3.0,Cat_6,C,49.0,9.0
167,463497,Male,No,Yes,Artist,Low,5.0,Cat_6,D,32.0,0.0
168,465301,Female,Yes,Yes,Artist,Low,3.0,Cat_3,B,40.0,0.0
169,464702,Male,Yes,No,Artist,Average,2.0,Cat_4,C,59.0,2.0
170,459012,Male,Yes,Yes,Artist,Low,5.0,Cat_6,B,48.0,3.0
171,465053,Male,Yes,Yes,Executive,High,2.0,Cat_6,C,82.0,0.0
172,459420,Female,Yes,Yes,Lawyer,Low,2.0,Cat_6,B,70.0,0.0
173,464166,Male,No,Yes,Artist,Low,2.0,Cat_6,B,31.0,5.0
174,458987,Female,Yes,Yes,Lawyer,High,2.0,Cat_6,C,72.0,0.0
175,467745,Male,Yes,Yes,Artist,Average,4.0,Cat_6,C,50.0,3.0
176,464866,Female,No,No,Engineer,Low,1.0,Cat_3,D,23.0,11.0
177,461081,Female,No,No,Healthcare,Low,6.0,Cat_6,D,20.0,2.0
178,467896,Female,No,No,Healthcare,Low,3.0,Cat_6,D,22.0,4.0
179,463991,Female,No,Yes,Engineer,Low,1.0,Cat_6,A,31.0,8.0
180,466620,Female,Yes,Yes,Artist,Average,2.0,Cat_6,C,36.0,7.0
181,462594,Male,Yes,No,Entertainment,Average,5.0,Cat_4,B,52.0,2.0
182,462206,Female,No,Yes,Artist,Low,1.0,Cat_4,B,29.0,0.0
183,460697,Male,Yes,Yes,Artist,Average,4.0,Cat_6,C,40.0,4.0
184,467934,Female,No,Yes,Artist,Low,1.0,Cat_6,A,40.0,1.0
185,460054,Male,Yes,Yes,Artist,Low,2.0,Cat_6,C,38.0,6.0
187,467910,Female,No,No,Doctor,Low,3.0,Cat_7,A,21.0,1.0
188,467335,Female,Yes,No,Engineer,Average,2.0,Cat_6,D,41.0,4.0
189,460263,Male,Yes,Yes,Artist,Low,2.0,Cat_6,B,40.0,0.0
190,459340,Male,Yes,Yes,Artist,Average,3.0,Cat_6,B,53.0,1.0
191,465622,Female,Yes,Yes,Artist,Low,2.0,Cat_6,C,42.0,5.0
192,459395,Male,Yes,No,Executive,Low,2.0,Cat_6,D,42.0,8.0
193,467539,Male,Yes,Yes,Artist,Average,4.0,Cat_7,C,48.0,3.0
194,466574,Male,Yes,Yes,Artist,Low,2.0,Cat_6,C,59.0,7.0
195,466544,Male,Yes,Yes,Executive,Average,3.0,Cat_6,A,41.0,1.0
196,463610,Female,Yes,Yes,Artist,Average,2.0,Cat_6,A,31.0,0.0
197,465539,Female,Yes,Yes,Artist,High,5.0,Cat_6,B,49.0,1.0
198,459823,Male,Yes,Yes,Executive,Low,2.0,Cat_6,A,67.0,1.0
199,467614,Male,Yes,No,Artist,Average,2.0,Cat_6,B,35.0,4.0
200,459073,Female,No,Yes,Healthcare,Low,3.0,Cat_6,C,26.0,0.0
202,464863,Female,Yes,No,Engineer,Average,8.0,Cat_4,D,25.0,6.0
203,460022,Female,Yes,Yes,Healthcare,Low,2.0,Cat_6,A,39.0,4.0
204,459929,Male,Yes,Yes,Entertainment,Low,2.0,Cat_6,A,63.0,0.0
205,466613,Male,No,No,Healthcare,Low,3.0,Cat_6,D,23.0,8.0
206,461149,Female,No,No,Healthcare,Low,3.0,Cat_3,D,23.0,0.0
207,466068,Female,Yes,Yes,Artist,Low,1.0,Cat_6,C,53.0,2.0
208,461513,Male,No,Yes,Doctor,Low,2.0,Cat_6,B,33.0,0.0
209,464761,Female,Yes,No,Engineer,Average,4.0,Cat_2,B,50.0,1.0
210,466236,Female,Yes,Yes,Engineer,Low,2.0,Cat_4,B,69.0,0.0
211,459664,Male,No,Yes,Artist,Low,1.0,Cat_6,B,37.0,2.0
212,461967,Female,No,No,Marketing,Low,4.0,Cat_7,C,20.0,3.0
214,461710,Female,Yes,Yes,Doctor,Average,4.0,Cat_6,C,49.0,1.0
215,462742,Male,No,No,Healthcare,Low,3.0,Cat_3,D,18.0,0.0
216,459528,Female,Yes,Yes,Doctor,Average,2.0,Cat_6,C,52.0,0.0
217,462691,Male,Yes,No,Doctor,Average,2.0,Cat_4,B,25.0,5.0
218,462934,Male,Yes,No,Executive,High,2.0,Cat_6,A,56.0,0.0
221,467515,Male,Yes,Yes,Engineer,Average,2.0,Cat_6,A,28.0,0.0
222,463429,Female,No,Yes,Artist,Low,3.0,Cat_6,A,28.0,7.0
223,464024,Male,No,No,Healthcare,Low,5.0,Cat_7,D,20.0,0.0
224,460691,Female,No,No,Homemaker,Low,1.0,Cat_3,D,27.0,8.0
225,461825,Female,No,No,Engineer,Low,1.0,Cat_6,A,56.0,0.0
226,467271,Male,Yes,Yes,Artist,Average,4.0,Cat_6,B,45.0,4.0
227,465634,Male,No,Yes,Healthcare,Low,4.0,Cat_4,B,25.0,1.0
228,464801,Male,No,No,Marketing,Low,1.0,Cat_4,D,40.0,1.0
229,459429,Female,Yes,Yes,Healthcare,Low,2.0,Cat_6,D,25.0,5.0
230,459888,Female,Yes,No,Lawyer,High,2.0,Cat_6,D,74.0,1.0
232,462036,Female,Yes,Yes,Lawyer,High,2.0,Cat_6,B,67.0,0.0
234,460448,Female,No,Yes,Artist,Low,1.0,Cat_3,A,38.0,9.0
235,464464,Male,No,No,Healthcare,Low,4.0,Cat_2,C,28.0,0.0
236,462410,Female,No,No,Healthcare,Low,5.0,Cat_7,B,32.0,1.0
238,459756,Female,Yes,No,Lawyer,High,4.0,Cat_4,B,56.0,1.0
239,463789,Female,Yes,Yes,Artist,Low,2.0,Cat_6,C,53.0,1.0
240,466947,Male,Yes,No,Executive,High,5.0,Cat_6,C,57.0,1.0
241,464150,Female,Yes,Yes,Artist,Average,3.0,Cat_6,C,59.0,0.0
242,465693,Female,Yes,Yes,Healthcare,High,4.0,Cat_4,A,25.0,1.0
243,461670,Male,Yes,Yes,Artist,Average,6.0,Cat_6,C,59.0,0.0
244,466768,Female,Yes,Yes,Artist,Low,4.0,Cat_6,C,36.0,0.0
245,461550,Male,Yes,Yes,Entertainment,Low,2.0,Cat_6,A,37.0,7.0
246,462438,Male,No,No,Doctor,Low,3.0,Cat_2,D,22.0,1.0
247,460704,Male,Yes,Yes,Artist,Low,2.0,Cat_6,B,43.0,1.0
248,464884,Male,Yes,Yes,Artist,Low,2.0,Cat_4,A,41.0,1.0
249,467050,Female,No,No,Engineer,Low,5.0,Cat_2,B,21.0,0.0
251,466176,Male,No,Yes,Doctor,Low,1.0,Cat_2,B,38.0,8.0
252,459488,Male,Yes,No,Artist,Average,4.0,Cat_6,A,47.0,1.0
253,467773,Male,Yes,Yes,Lawyer,High,3.0,Cat_6,C,70.0,1.0
254,465425,Female,No,No,Engineer,Low,4.0,Cat_6,B,31.0,1.0
255,462318,Female,Yes,No,Lawyer,Average,2.0,Cat_6,A,82.0,0.0
256,466078,Female,Yes,No,Executive,Low,1.0,Cat_6,A,51.0,2.0
258,460197,Male,No,Yes,Artist,Low,3.0,Cat_2,A,38.0,8.0
259,459375,Male,Yes,No,Executive,High,4.0,Cat_6,A,18.0,0.0
260,463862,Male,Yes,Yes,Artist,Average,3.0,Cat_6,C,50.0,6.0
262,462721,Female,Yes,No,Lawyer,High,3.0,Cat_6,D,72.0,1.0
263,459637,Female,No,No,Engineer,Low,4.0,Cat_6,C,33.0,2.0
264,465809,Female,No,No,Homemaker,Low,7.0,Cat_4,B,25.0,1.0
265,466915,Female,Yes,No,Entertainment,High,2.0,Cat_2,D,75.0,2.0
266,467343,Male,No,Yes,Artist,Low,1.0,Cat_6,B,72.0,1.0
267,466268,Female,Yes,Yes,Artist,Average,3.0,Cat_4,C,72.0,0.0
268,464868,Male,Yes,Yes,Entertainment,Low,6.0,Cat_4,A,36.0,6.0
269,464038,Male,Yes,Yes,Artist,Low,2.0,Cat_6,A,40.0,1.0
270,460176,Female,No,Yes,Entertainment,Low,4.0,Cat_6,C,28.0,0.0
271,462161,Female,No,Yes,Doctor,Low,3.0,Cat_6,D,28.0,0.0
273,464893,Male,Yes,Yes,Artist,Low,2.0,Cat_4,B,43.0,0.0
274,464443,Female,Yes,Yes,Artist,Average,2.0,Cat_6,B,35.0,1.0
275,467619,Male,Yes,Yes,Lawyer,High,2.0,Cat_6,B,65.0,1.0
276,465974,Male,Yes,Yes,Executive,High,4.0,Cat_4,C,52.0,7.0
277,462075,Female,No,Yes,Artist,Low,1.0,Cat_6,B,40.0,1.0
278,459494,Female,Yes,No,Engineer,Low,3.0,Cat_6,A,69.0,9.0
279,466921,Female,No,No,Healthcare,Low,3.0,Cat_6,D,22.0,3.0
280,463544,Male,Yes,Yes,Executive,Average,4.0,Cat_6,C,47.0,1.0
281,461167,Male,Yes,Yes,Marketing,High,2.0,Cat_3,A,29.0,1.0
282,467364,Male,Yes,Yes,Artist,Average,3.0,Cat_3,C,46.0,1.0
283,462408,Male,No,Yes,Artist,Low,2.0,Cat_6,A,32.0,1.0
284,466224,Female,No,Yes,Healthcare,Low,1.0,Cat_2,C,38.0,0.0
285,465151,Male,Yes,Yes,Artist,Low,1.0,Cat_6,B,59.0,0.0
286,467216,Female,No,Yes,Entertainment,Low,1.0,Cat_6,D,26.0,1.0
287,460586,Male,No,Yes,Healthcare,Low,2.0,Cat_3,A,26.0,1.0
288,461197,Male,No,No,Marketing,Low,1.0,Cat_3,D,28.0,0.0
289,462776,Female,Yes,Yes,Engineer,Average,3.0,Cat_6,C,53.0,1.0
291,464088,Male,No,No,Doctor,Low,3.0,Cat_6,D,27.0,1.0
292,459471,Female,No,No,Artist,Low,8.0,Cat_6,C,32.0,4.0
293,464695,Male,No,No,Engineer,Low,4.0,Cat_4,D,26.0,0.0
294,462331,Female,No,No,Entertainment,Low,2.0,Cat_6,D,31.0,0.0
295,466523,Male,Yes,Yes,Executive,High,3.0,Cat_3,B,39.0,1.0
296,465337,Female,Yes,No,Engineer,Low,3.0,Cat_7,A,43.0,1.0
297,460834,Male,Yes,No,Doctor,Low,2.0,Cat_1,A,25.0,1.0
298,466824,Male,Yes,Yes,Artist,High,3.0,Cat_6,A,40.0,3.0
299,461607,Female,Yes,Yes,Entertainment,Average,2.0,Cat_3,B,40.0,7.0
300,465091,Male,Yes,Yes,Entertainment,Average,3.0,Cat_6,C,63.0,0.0
301,459532,Female,Yes,Yes,Healthcare,Low,2.0,Cat_6,D,27.0,4.0
302,466999,Male,No,Yes,Healthcare,Low,3.0,Cat_6,D,27.0,1.0
303,466597,Female,No,No,Healthcare,Low,2.0,Cat_6,D,19.0,1.0
304,464075,Female,Yes,Yes,Lawyer,High,2.0,Cat_6,B,86.0,0.0
305,463394,Male,Yes,Yes,Marketing,High,2.0,Cat_6,B,41.0,2.0
306,462163,Female,Yes,Yes,Artist,Average,2.0,Cat_3,C,27.0,4.0
307,463895,Female,Yes,No,Doctor,Average,2.0,Cat_6,B,70.0,0.0
308,464767,Female,Yes,No,Engineer,Average,4.0,Cat_4,B,53.0,8.0
309,464763,Female,Yes,No,Engineer,Average,4.0,Cat_4,B,49.0,4.0
312,466374,Male,Yes,No,Lawyer,Low,1.0,Cat_4,B,83.0,1.0
313,463738,Male,Yes,No,Executive,High,4.0,Cat_6,A,43.0,0.0
314,465967,Male,Yes,No,Doctor,Low,3.0,Cat_6,A,36.0,6.0
315,462260,Male,Yes,Yes,Lawyer,Low,2.0,Cat_6,C,74.0,0.0
316,467234,Female,No,No,Homemaker,Low,4.0,Cat_6,D,30.0,0.0
317,466573,Female,No,Yes,Artist,Low,2.0,Cat_6,B,37.0,5.0
318,463229,Female,No,No,Marketing,Low,1.0,Cat_5,B,22.0,0.0
319,459768,Male,No,No,Healthcare,Low,4.0,Cat_6,D,19.0,0.0
320,462541,Male,Yes,Yes,Engineer,High,2.0,Cat_6,B,70.0,4.0
321,467714,Male,Yes,Yes,Lawyer,Low,1.0,Cat_6,A,89.0,13.0
322,467730,Male,No,No,Healthcare,Low,4.0,Cat_6,D,18.0,1.0
323,459474,Male,No,Yes,Doctor,Low,1.0,Cat_2,D,25.0,6.0
324,460093,Female,No,Yes,Artist,Low,1.0,Cat_3,A,45.0,4.0
325,467865,Female,No,Yes,Artist,Low,1.0,Cat_4,A,35.0,3.0
326,465758,Female,Yes,No,Engineer,Low,1.0,Cat_4,D,37.0,7.0
327,464184,Female,Yes,No,Engineer,Average,2.0,Cat_6,B,39.0,4.0
328,462618,Female,No,Yes,Healthcare,Low,5.0,Cat_4,D,32.0,1.0
329,464226,Female,Yes,Yes,Artist,Average,3.0,Cat_6,C,62.0,2.0
330,465432,Female,Yes,Yes,Engineer,Average,4.0,Cat_4,B,58.0,0.0
331,464087,Female,No,No,Engineer,Low,4.0,Cat_6,C,32.0,4.0
332,466627,Male,No,No,Healthcare,Low,5.0,Cat_6,C,25.0,0.0
333,467380,Female,Yes,Yes,Artist,Average,4.0,Cat_6,C,56.0,0.0
334,465842,Female,No,Yes,Entertainment,Low,2.0,Cat_6,A,36.0,10.0
335,464622,Female,No,No,Healthcare,Low,3.0,Cat_6,A,30.0,8.0
336,462083,Male,No,No,Healthcare,Low,5.0,Cat_6,D,19.0,1.0
337,460910,Male,No,Yes,Healthcare,Low,2.0,Cat_6,A,27.0,0.0
338,460255,Female,No,Yes,Doctor,Low,1.0,Cat_6,A,38.0,14.0
339,460109,Male,Yes,Yes,Artist,Average,2.0,Cat_6,C,46.0,8.0
340,464306,Male,No,Yes,Artist,Low,1.0,Cat_6,B,29.0,3.0
341,466835,Male,Yes,No,Entertainment,Average,4.0,Cat_7,B,51.0,1.0
342,465192,Male,Yes,No,Artist,Low,1.0,Cat_6,A,55.0,0.0
343,463380,Female,Yes,Yes,Engineer,Low,1.0,Cat_3,A,69.0,1.0
344,462391,Female,No,No,Healthcare,Low,8.0,Cat_7,C,26.0,1.0
345,467086,Female,Yes,Yes,Lawyer,Low,3.0,Cat_6,A,83.0,0.0
346,460306,Female,No,Yes,Healthcare,Low,1.0,Cat_6,D,39.0,9.0
347,460752,Male,Yes,Yes,Artist,Low,1.0,Cat_6,A,35.0,9.0
348,467264,Male,Yes,No,Marketing,High,5.0,Cat_6,C,19.0,2.0
349,461646,Female,Yes,Yes,Artist,High,4.0,Cat_6,C,60.0,2.0
350,463570,Male,Yes,Yes,Artist,Average,4.0,Cat_6,C,35.0,2.0
351,465277,Female,No,Yes,Engineer,Low,1.0,Cat_6,B,53.0,4.0
353,466258,Female,No,No,Healthcare,Low,3.0,Cat_6,B,29.0,1.0
354,463719,Female,No,No,Doctor,Low,1.0,Cat_6,D,26.0,0.0
355,460032,Male,No,Yes,Engineer,Low,1.0,Cat_6,A,36.0,8.0
356,465175,Female,No,No,Homemaker,Low,4.0,Cat_6,D,22.0,0.0
