ID,Gender,Ever_Married,Graduated,Profession,Spending_Score,Family_Size,Var_1,Segmentation,Age,Work_Experience
461996,Female,No,No,Artist,Low,4.0,Cat_6,C,35.0,5.0
463331,Female,Yes,Yes,Artist,Low,3.0,Cat_6,C,45.0,0.0
462216,Female,Yes,No,Doctor,Low,2.0,Cat_4,A,42.0,1.0
462454,Male,No,No,Healthcare,Low,3.0,Cat_2,D,19.0,1.0
459861,Female,Yes,No,Lawyer,High,2.0,Cat_6,D,83.0,1.0
467917,Female,No,Yes,Healthcare,Low,4.0,Cat_1,D,27.0,3.0
465572,Male,No,No,Doctor,Low,1.0,Cat_4,D,32.0,5.0
460593,Female,Yes,No,Healthcare,Average,5.0,Cat_3,D,28.0,1.0
465891,Female,Yes,Yes,Artist,Low,2.0,Cat_6,A,28.0,8.0
467442,Male,Yes,Yes,Artist,Average,2.0,Cat_6,C,56.0,0.0
462044,Female,No,Yes,Artist,Low,1.0,Cat_6,B,47.0,4.0
465686,Female,No,No,Healthcare,Low,2.0,Cat_6,D,22.0,0.0
464590,Female,No,Yes,Artist,Low,3.0,Cat_6,A,27.0,14.0
466152,Male,Yes,No,Engineer,Low,1.0,Cat_6,A,40.0,8.0
463156,Female,Yes,No,Lawyer,High,2.0,Cat_6,A,79.0,3.0
465729,Male,Yes,Yes,Artist,Average,4.0,Cat_4,B,41.0,0.0
462384,Female,No,Yes,Healthcare,Low,1.0,Cat_7,A,29.0,0.0
462442,Male,No,No,Healthcare,Low,4.0,Cat_6,D,19.0,0.0
464191,Female,No,Yes,Engineer,Low,1.0,Cat_6,A,45.0,1.0
462078,Female,Yes,No,Artist,Average,2.0,Cat_2,B,61.0,1.0
467873,Female,Yes,Yes,Artist,Average,2.0,Cat_6,C,36.0,1.0
461270,Male,Yes,Yes,Artist,Low,1.0,Cat_3,A,40.0,1.0
462960,Female,Yes,Yes,Entertainment,Average,2.0,Cat_6,C,57.0,0.0
464961,Male,Yes,No,Other,Low,1.0,Cat_4,A,76.0,1.0
462110,Male,Yes,Yes,Artist,Average,2.0,Cat_6,B,32.0,14.0
465769,Male,No,Yes,Healthcare,Low,4.0,Cat_6,D,25.0,9.0
465269,Female,Yes,Yes,Artist,Average,3.0,Cat_3,C,45.0,1.0
461891,Male,Yes,Yes,Artist,Average,2.0,Cat_6,C,48.0,0.0
466935,Male,Yes,Yes,Artist,Average,2.0,Cat_1,C,55.0,9.0
464091,Male,Yes,Yes,Lawyer,High,3.0,Cat_6,D,74.0,0.0
464535,Male,Yes,Yes,Lawyer,High,2.0,Cat_6,A,56.0,1.0
463108,Male,Yes,Yes,Lawyer,High,2.0,Cat_6,A,59.0,7.0
461356,Male,No,Yes,Entertainment,Low,2.0,Cat_6,A,25.0,0.0
464570,Male,Yes,Yes,Doctor,Average,2.0,Cat_6,A,31.0,0.0
464580,Male,No,No,Artist,Low,4.0,Cat_6,A,27.0,8.0
465233,Male,Yes,Yes,Artist,Average,4.0,Cat_6,B,57.0,0.0
467208,Female,Yes,Yes,Other,High,2.0,Cat_6,A,39.0,1.0
459954,Male,Yes,Yes,Healthcare,Low,2.0,Cat_6,D,27.0,8.0
460219,Female,Yes,Yes,Entertainment,Average,2.0,Cat_6,A,51.0,8.0
460877,Female,Yes,No,Artist,Average,5.0,Cat_6,B,47.0,0.0
460191,Female,No,No,Healthcare,Low,4.0,Cat_6,D,33.0,8.0
463742,Male,Yes,Yes,Artist,Average,4.0,Cat_6,C,56.0,0.0
463691,Female,No,No,Other,Low,3.0,Cat_6,B,33.0,0.0
463250,Female,No,Yes,Doctor,Low,2.0,Cat_6,D,36.0,0.0
463952,Male,Yes,No,Artist,Low,3.0,Cat_4,A,51.0,4.0
461558,Male,Yes,Yes,Engineer,Average,2.0,Cat_6,C,45.0,2.0
465379,Male,No,No,Healthcare,Low,4.0,Cat_6,C,30.0,0.0
463814,Female,No,No,Healthcare,Low,3.0,Cat_5,D,26.0,6.0
466938,Male,Yes,Yes,Artist,Low,1.0,Cat_6,A,63.0,8.0
460671,Male,Yes,No,Entertainment,Average,4.0,Cat_3,B,35.0,8.0
462204,Female,No,No,Other,Low,3.0,Cat_4,A,19.0,1.0
461671,Male,No,No,Healthcare,Low,5.0,Cat_6,D,32.0,7.0
459384,Male,Yes,Yes,Artist,Average,3.0,Cat_6,C,52.0,0.0
459905,Female,Yes,Yes,Artist,Low,2.0,Cat_6,C,36.0,5.0
464734,Female,No,No,Entertainment,Low,3.0,Cat_4,D,42.0,7.0
464125,Male,Yes,No,Doctor,Average,2.0,Cat_3,D,40.0,0.0
467434,Male,No,Yes,Entertainment,Low,3.0,Cat_1,B,39.0,0.0
460956,Female,Yes,Yes,Artist,Average,4.0,Cat_3,C,47.0,1.0
465179,Female,Yes,Yes,Artist,High,2.0,Cat_6,C,61.0,1.0
463338,Male,Yes,No,Entertainment,Low,2.0,Cat_3,D,32.0,1.0
467066,Male,Yes,No,Artist,Low,1.0,Cat_6,B,55.0,0.0
463845,Male,Yes,Yes,Artist,Average,1.0,Cat_6,D,58.0,1.0
459976,Female,No,Yes,Artist,Low,1.0,Cat_6,D,38.0,0.0
461334,Male,Yes,Yes,Artist,High,2.0,Cat_6,C,63.0,0.0
465108,Male,Yes,Yes,Doctor,Average,2.0,Cat_6,C,58.0,1.0
462600,Male,Yes,No,Engineer,Average,3.0,Cat_4,D,30.0,3.0
464144,Male,Yes,Yes,Artist,Average,4.0,Cat_6,C,60.0,0.0
466911,Male,Yes,No,Executive,High,7.0,Cat_6,B,68.0,1.0
462806,Male,Yes,No,Artist,Low,3.0,Cat_4,A,52.0,0.0
463426,Male,Yes,No,Executive,High,5.0,Cat_6,A,38.0,0.0
464065,Female,Yes,Yes,Healthcare,Low,2.0,Cat_6,B,35.0,10.0
462979,Male,No,No,Doctor,Low,2.0,Cat_6,D,18.0,1.0
462834,Male,Yes,Yes,Other,Low,2.0,Cat_1,D,30.0,3.0
460764,Male,No,No,Lawyer,Low,1.0,Cat_6,D,86.0,1.0
460185,Male,No,No,Healthcare,Low,3.0,Cat_6,D,25.0,9.0
459749,Male,Yes,Yes,Entertainment,Low,4.0,Cat_4,A,59.0,5.0
464406,Female,No,Yes,Artist,Low,1.0,Cat_6,A,39.0,0.0
462059,Male,No,Yes,Artist,Low,1.0,Cat_6,C,47.0,1.0
467905,Male,Yes,Yes,Executive,High,3.0,Cat_6,D,43.0,0.0
461177,Male,Yes,No,Executive,Average,4.0,Cat_1,B,36.0,8.0
460765,Male,Yes,No,Lawyer,Low,1.0,Cat_6,D,80.0,1.0
465386,Male,No,Yes,Artist,Low,2.0,Cat_2,C,36.0,0.0
462332,Female,Yes,Yes,Artist,High,2.0,Cat_7,A,37.0,1.0
464481,Male,Yes,Yes,Executive,High,3.0,Cat_6,C,46.0,0.0
461011,Male,Yes,No,Executive,High,4.0,Cat_3,B,55.0,1.0
464749,Female,Yes,No,Engineer,Average,4.0,Cat_4,B,47.0,9.0
461094,Female,No,Yes,Healthcare,Low,3.0,Cat_3,D,28.0,1.0
462104,Male,Yes,No,Entertainment,Low,2.0,Cat_3,D,39.0,9.0
464524,Female,Yes,No,Other,Low,2.0,Cat_6,A,27.0,1.0
461787,Male,Yes,Yes,Artist,Average,2.0,Cat_6,C,72.0,0.0
467857,Female,Yes,Yes,Engineer,Low,2.0,Cat_6,A,28.0,0.0
460153,Male,No,Yes,Entertainment,Low,5.0,Cat_6,C,35.0,8.0
465215,Male,Yes,Yes,Executive,High,5.0,Cat_2,A,39.0,9.0
466746,Female,Yes,Yes,Lawyer,High,2.0,Cat_6,C,69.0,0.0
464857,Male,No,No,Healthcare,Low,4.0,Cat_4,D,18.0,6.0
459478,Male,Yes,Yes,Artist,Low,1.0,Cat_6,A,46.0,3.0
460723,Female,Yes,Yes,Engineer,High,2.0,Cat_4,B,50.0,1.0
459853,Male,No,No,Executive,Low,5.0,Cat_6,A,30.0,5.0
459390,Female,No,No,Artist,Low,2.0,Cat_6,B,41.0,2.0
460410,Female,No,Yes,Artist,Low,4.0,Cat_6,D,39.0,3.0
463823,Female,No,No,Other,Low,4.0,Cat_6,D,29.0,8.0
462008,Female,Yes,Yes,Artist,Low,4.0,Cat_5,B,37.0,4.0
459750,Female,Yes,Yes,Engineer,Average,2.0,Cat_6,A,39.0,0.0
459880,Female,Yes,Yes,Artist,Average,5.0,Cat_7,C,48.0,0.0
459261,Female,No,Yes,Doctor,Low,3.0,Cat_6,C,32.0,0.0
465395,Female,Yes,No,Engineer,Average,5.0,Cat_4,B,43.0,0.0
461631,Male,No,No,Other,Low,5.0,Cat_6,C,29.0,8.0
464904,Female,Yes,No,Engineer,Average,2.0,Cat_4,A,28.0,9.0
461740,Male,Yes,Yes,Lawyer,Low,1.0,Cat_6,B,80.0,1.0
467092,Female,No,Yes,Healthcare,Low,4.0,Cat_6,D,28.0,7.0
464173,Male,Yes,Yes,Artist,Average,3.0,Cat_6,C,71.0,6.0
464972,Male,Yes,No,Lawyer,High,9.0,Cat_4,A,67.0,0.0
467959,Female,No,No,Engineer,Low,1.0,Cat_2,A,26.0,0.0
467688,Female,Yes,Yes,Engineer,Average,2.0,Cat_6,C,47.0,0.0
460043,Female,Yes,Yes,Artist,Average,2.0,Cat_6,B,43.0,2.0
466590,Female,No,Yes,Healthcare,Low,4.0,Cat_6,C,27.0,0.0
461191,Female,Yes,Yes,Other,Low,4.0,Cat_6,D,45.0,8.0
465662,Male,Yes,No,Executive,Low,1.0,Cat_6,C,76.0,1.0
459231,Female,Yes,Yes,Artist,Average,4.0,Cat_6,C,43.0,3.0
466495,Female,Yes,Yes,Lawyer,High,2.0,Cat_6,B,78.0,1.0
459192,Male,Yes,Yes,Artist,Average,3.0,Cat_6,C,35.0,3.0
465710,Female,No,Yes,Artist,Low,1.0,Cat_6,C,49.0,1.0
460258,Female,No,Yes,Healthcare,Low,5.0,Cat_6,D,25.0,1.0
462813,Male,Yes,No,Executive,Average,5.0,Cat_6,A,37.0,0.0
467768,Male,Yes,Yes,Doctor,Average,2.0,Cat_6,C,60.0,0.0
465291,Female,Yes,Yes,Artist,Average,3.0,Cat_6,C,45.0,5.0
462996,Female,Yes,Yes,Other,Average,3.0,Cat_6,C,49.0,9.0
463497,Male,No,Yes,Artist,Low,5.0,Cat_6,D,32.0,0.0
465301,Female,Yes,Yes,Artist,Low,3.0,Cat_3,B,40.0,0.0
464702,Male,Yes,No,Artist,Average,2.0,Cat_4,C,59.0,2.0
459012,Male,Yes,Yes,Artist,Low,5.0,Cat_6,B,48.0,3.0
465053,Male,Yes,Yes,Executive,High,2.0,Cat_6,C,82.0,0.0
459420,Female,Yes,Yes,Lawyer,Low,2.0,Cat_6,B,70.0,0.0
464166,Male,No,Yes,Artist,Low,2.0,Cat_6,B,31.0,5.0
458987,Female,Yes,Yes,Lawyer,High,2.0,Cat_6,C,72.0,0.0
467745,Male,Yes,Yes,Artist,Average,4.0,Cat_6,C,50.0,3.0
464866,Female,No,No,Engineer,Low,1.0,Cat_3,D,23.0,11.0
461081,Female,No,No,Healthcare,Low,6.0,Cat_6,D,20.0,2.0
467896,Female,No,No,Healthcare,Low,3.0,Cat_6,D,22.0,4.0
463991,Female,No,Yes,Engineer,Low,1.0,Cat_6,A,31.0,8.0
466620,Female,Yes,Yes,Artist,Average,2.0,Cat_6,C,36.0,7.0
462594,Male,Yes,No,Entertainment,Average,5.0,Cat_4,B,52.0,2.0
462206,Female,No,Yes,Artist,Low,1.0,Cat_4,B,29.0,0.0
460697,Male,Yes,Yes,Artist,Average,4.0,Cat_6,C,40.0,4.0
467934,Female,No,Yes,Artist,Low,1.0,Cat_6,A,40.0,1.0
460054,Male,Yes,Yes,Artist,Low,2.0,Cat_6,C,38.0,6.0
467910,Female,No,No,Doctor,Low,3.0,Cat_7,A,21.0,1.0
467335,Female,Yes,No,Engineer,Average,2.0,Cat_6,D,41.0,4.0
460263,Male,Yes,Yes,Artist,Low,2.0,Cat_6,B,40.0,0.0
459340,Male,Yes,Yes,Artist,Average,3.0,Cat_6,B,53.0,1.0
465622,Female,Yes,Yes,Artist,Low,2.0,Cat_6,C,42.0,5.0
459395,Male,Yes,No,Executive,Low,2.0,Cat_6,D,42.0,8.0
467539,Male,Yes,Yes,Artist,Average,4.0,Cat_7,C,48.0,3.0
466574,Male,Yes,Yes,Artist,Low,2.0,Cat_6,C,59.0,7.0
466544,Male,Yes,Yes,Executive,Average,3.0,Cat_6,A,41.0,1.0
463610,Female,Yes,Yes,Artist,Average,2.0,Cat_6,A,31.0,0.0
465539,Female,Yes,Yes,Artist,High,5.0,Cat_6,B,49.0,1.0
459823,Male,Yes,Yes,Executive,Low,2.0,Cat_6,A,67.0,1.0
467614,Male,Yes,No,Artist,Average,2.0,Cat_6,B,35.0,4.0
459073,Female,No,Yes,Healthcare,Low,3.0,Cat_6,C,26.0,0.0
464863,Female,Yes,No,Engineer,Average,8.0,Cat_4,D,25.0,6.0
460022,Female,Yes,Yes,Healthcare,Low,2.0,Cat_6,A,39.0,4.0
459929,Male,Yes,Yes,Entertainment,Low,2.0,Cat_6,A,63.0,0.0
466613,Male,No,No,Healthcare,Low,3.0,Cat_6,D,23.0,8.0
461149,Female,No,No,Healthcare,Low,3.0,Cat_3,D,23.0,0.0
466068,Female,Yes,Yes,Artist,Low,1.0,Cat_6,C,53.0,2.0
461513,Male,No,Yes,Doctor,Low,2.0,Cat_6,B,33.0,0.0
464761,Female,Yes,No,Engineer,Average,4.0,Cat_2,B,50.0,1.0
466236,Female,Yes,Yes,Engineer,Low,2.0,Cat_4,B,69.0,0.0
459664,Male,No,Yes,Artist,Low,1.0,Cat_6,B,37.0,2.0
461967,Female,No,No,Other,Low,4.0,Cat_7,C,20.0,3.0
461710,Female,Yes,Yes,Doctor,Average,4.0,Cat_6,C,49.0,1.0
462742,Male,No,No,Healthcare,Low,3.0,Cat_3,D,18.0,0.0
459528,Female,Yes,Yes,Doctor,Average,2.0,Cat_6,C,52.0,0.0
462691,Male,Yes,No,Doctor,Average,2.0,Cat_4,B,25.0,5.0
462934,Male,Yes,No,Executive,High,2.0,Cat_6,A,56.0,0.0
467515,Male,Yes,Yes,Engineer,Average,2.0,Cat_6,A,28.0,0.0
463429,Female,No,Yes,Artist,Low,3.0,Cat_6,A,28.0,7.0
464024,Male,No,No,Healthcare,Low,5.0,Cat_7,D,20.0,0.0
460691,Female,No,No,Other,Low,1.0,Cat_3,D,27.0,8.0
461825,Female,No,No,Engineer,Low,1.0,Cat_6,A,56.0,0.0
467271,Male,Yes,Yes,Artist,Average,4.0,Cat_6,B,45.0,4.0
465634,Male,No,Yes,Healthcare,Low,4.0,Cat_4,B,25.0,1.0
464801,Male,No,No,Other,Low,1.0,Cat_4,D,40.0,1.0
459429,Female,Yes,Yes,Healthcare,Low,2.0,Cat_6,D,25.0,5.0
459888,Female,Yes,No,Lawyer,High,2.0,Cat_6,D,74.0,1.0
462036,Female,Yes,Yes,Lawyer,High,2.0,Cat_6,B,67.0,0.0
460448,Female,No,Yes,Artist,Low,1.0,Cat_3,A,38.0,9.0
464464,Male,No,No,Healthcare,Low,4.0,Cat_2,C,28.0,0.0
462410,Female,No,No,Healthcare,Low,5.0,Cat_7,B,32.0,1.0
459756,Female,Yes,No,Lawyer,High,4.0,Cat_4,B,56.0,1.0
463789,Female,Yes,Yes,Artist,Low,2.0,Cat_6,C,53.0,1.0
466947,Male,Yes,No,Executive,High,5.0,Cat_6,C,57.0,1.0
464150,Female,Yes,Yes,Artist,Average,3.0,Cat_6,C,59.0,0.0
465693,Female,Yes,Yes,Healthcare,High,4.0,Cat_4,A,25.0,1.0
461670,Male,Yes,Yes,Artist,Average,6.0,Cat_6,C,59.0,0.0
466768,Female,Yes,Yes,Artist,Low,4.0,Cat_6,C,36.0,0.0
461550,Male,Yes,Yes,Entertainment,Low,2.0,Cat_6,A,37.0,7.0
462438,Male,No,No,Doctor,Low,3.0,Cat_2,D,22.0,1.0
460704,Male,Yes,Yes,Artist,Low,2.0,Cat_6,B,43.0,1.0
464884,Male,Yes,Yes,Artist,Low,2.0,Cat_4,A,41.0,1.0
467050,Female,No,No,Engineer,Low,5.0,Cat_2,B,21.0,0.0
466176,Male,No,Yes,Doctor,Low,1.0,Cat_2,B,38.0,8.0
459488,Male,Yes,No,Artist,Average,4.0,Cat_6,A,47.0,1.0
467773,Male,Yes,Yes,Lawyer,High,3.0,Cat_6,C,70.0,1.0
465425,Female,No,No,Engineer,Low,4.0,Cat_6,B,31.0,1.0
462318,Female,Yes,No,Lawyer,Average,2.0,Cat_6,A,82.0,0.0
466078,Female,Yes,No,Executive,Low,1.0,Cat_6,A,51.0,2.0
460197,Male,No,Yes,Artist,Low,3.0,Cat_2,A,38.0,8.0
459375,Male,Yes,No,Executive,High,4.0,Cat_6,A,18.0,0.0
463862,Male,Yes,Yes,Artist,Average,3.0,Cat_6,C,50.0,6.0
462721,Female,Yes,No,Lawyer,High,3.0,Cat_6,D,72.0,1.0
459637,Female,No,No,Engineer,Low,4.0,Cat_6,C,33.0,2.0
465809,Female,No,No,Other,Low,7.0,Cat_4,B,25.0,1.0
466915,Female,Yes,No,Entertainment,High,2.0,Cat_2,D,75.0,2.0
467343,Male,No,Yes,Artist,Low,1.0,Cat_6,B,72.0,1.0
466268,Female,Yes,Yes,Artist,Average,3.0,Cat_4,C,72.0,0.0
464868,Male,Yes,Yes,Entertainment,Low,6.0,Cat_4,A,36.0,6.0
464038,Male,Yes,Yes,Artist,Low,2.0,Cat_6,A,40.0,1.0
460176,Female,No,Yes,Entertainment,Low,4.0,Cat_6,C,28.0,0.0
462161,Female,No,Yes,Doctor,Low,3.0,Cat_6,D,28.0,0.0
464893,Male,Yes,Yes,Artist,Low,2.0,Cat_4,B,43.0,0.0
464443,Female,Yes,Yes,Artist,Average,2.0,Cat_6,B,35.0,1.0
467619,Male,Yes,Yes,Lawyer,High,2.0,Cat_6,B,65.0,1.0
465974,Male,Yes,Yes,Executive,High,4.0,Cat_4,C,52.0,7.0
462075,Female,No,Yes,Artist,Low,1.0,Cat_6,B,40.0,1.0
459494,Female,Yes,No,Engineer,Low,3.0,Cat_6,A,69.0,9.0
466921,Female,No,No,Healthcare,Low,3.0,Cat_6,D,22.0,3.0
463544,Male,Yes,Yes,Executive,Average,4.0,Cat_6,C,47.0,1.0
461167,Male,Yes,Yes,Other,High,2.0,Cat_3,A,29.0,1.0
467364,Male,Yes,Yes,Artist,Average,3.0,Cat_3,C,46.0,1.0
462408,Male,No,Yes,Artist,Low,2.0,Cat_6,A,32.0,1.0
466224,Female,No,Yes,Healthcare,Low,1.0,Cat_2,C,38.0,0.0
465151,Male,Yes,Yes,Artist,Low,1.0,Cat_6,B,59.0,0.0
467216,Female,No,Yes,Entertainment,Low,1.0,Cat_6,D,26.0,1.0
460586,Male,No,Yes,Healthcare,Low,2.0,Cat_3,A,26.0,1.0
461197,Male,No,No,Other,Low,1.0,Cat_3,D,28.0,0.0
462776,Female,Yes,Yes,Engineer,Average,3.0,Cat_6,C,53.0,1.0
464088,Male,No,No,Doctor,Low,3.0,Cat_6,D,27.0,1.0
459471,Female,No,No,Artist,Low,8.0,Cat_6,C,32.0,4.0
464695,Male,No,No,Engineer,Low,4.0,Cat_4,D,26.0,0.0
462331,Female,No,No,Entertainment,Low,2.0,Cat_6,D,31.0,0.0
466523,Male,Yes,Yes,Executive,High,3.0,Cat_3,B,39.0,1.0
465337,Female,Yes,No,Engineer,Low,3.0,Cat_7,A,43.0,1.0
460834,Male,Yes,No,Doctor,Low,2.0,Cat_1,A,25.0,1.0
466824,Male,Yes,Yes,Artist,High,3.0,Cat_6,A,40.0,3.0
461607,Female,Yes,Yes,Entertainment,Average,2.0,Cat_3,B,40.0,7.0
465091,Male,Yes,Yes,Entertainment,Average,3.0,Cat_6,C,63.0,0.0
459532,Female,Yes,Yes,Healthcare,Low,2.0,Cat_6,D,27.0,4.0
466999,Male,No,Yes,Healthcare,Low,3.0,Cat_6,D,27.0,1.0
466597,Female,No,No,Healthcare,Low,2.0,Cat_6,D,19.0,1.0
464075,Female,Yes,Yes,Lawyer,High,2.0,Cat_6,B,86.0,0.0
463394,Male,Yes,Yes,Other,High,2.0,Cat_6,B,41.0,2.0
462163,Female,Yes,Yes,Artist,Average,2.0,Cat_3,C,27.0,4.0
463895,Female,Yes,No,Doctor,Average,2.0,Cat_6,B,70.0,0.0
464767,Female,Yes,No,Engineer,Average,4.0,Cat_4,B,53.0,8.0
464763,Female,Yes,No,Engineer,Average,4.0,Cat_4,B,49.0,4.0
466374,Male,Yes,No,Lawyer,Low,1.0,Cat_4,B,83.0,1.0
463738,Male,Yes,No,Executive,High,4.0,Cat_6,A,43.0,0.0
465967,Male,Yes,No,Doctor,Low,3.0,Cat_6,A,36.0,6.0
462260,Male,Yes,Yes,Lawyer,Low,2.0,Cat_6,C,74.0,0.0
467234,Female,No,No,Other,Low,4.0,Cat_6,D,30.0,0.0
466573,Female,No,Yes,Artist,Low,2.0,Cat_6,B,37.0,5.0
463229,Female,No,No,Other,Low,1.0,Cat_5,B,22.0,0.0
459768,Male,No,No,Healthcare,Low,4.0,Cat_6,D,19.0,0.0
462541,Male,Yes,Yes,Engineer,High,2.0,Cat_6,B,70.0,4.0
467714,Male,Yes,Yes,Lawyer,Low,1.0,Cat_6,A,89.0,13.0
467730,Male,No,No,Healthcare,Low,4.0,Cat_6,D,18.0,1.0
459474,Male,No,Yes,Doctor,Low,1.0,Cat_2,D,25.0,6.0
460093,Female,No,Yes,Artist,Low,1.0,Cat_3,A,45.0,4.0
467865,Female,No,Yes,Artist,Low,1.0,Cat_4,A,35.0,3.0
465758,Female,Yes,No,Engineer,Low,1.0,Cat_4,D,37.0,7.0
464184,Female,Yes,No,Engineer,Average,2.0,Cat_6,B,39.0,4.0
462618,Female,No,Yes,Healthcare,Low,5.0,Cat_4,D,32.0,1.0
464226,Female,Yes,Yes,Artist,Average,3.0,Cat_6,C,62.0,2.0
465432,Female,Yes,Yes,Engineer,Average,4.0,Cat_4,B,58.0,0.0
464087,Female,No,No,Engineer,Low,4.0,Cat_6,C,32.0,4.0
466627,Male,No,No,Healthcare,Low,5.0,Cat_6,C,25.0,0.0
467380,Female,Yes,Yes,Artist,Average,4.0,Cat_6,C,56.0,0.0
465842,Female,No,Yes,Entertainment,Low,2.0,Cat_6,A,36.0,10.0
464622,Female,No,No,Healthcare,Low,3.0,Cat_6,A,30.0,8.0
462083,Male,No,No,Healthcare,Low,5.0,Cat_6,D,19.0,1.0
460910,Male,No,Yes,Healthcare,Low,2.0,Cat_6,A,27.0,0.0
460255,Female,No,Yes,Doctor,Low,1.0,Cat_6,A,38.0,14.0
460109,Male,Yes,Yes,Artist,Average,2.0,Cat_6,C,46.0,8.0
464306,Male,No,Yes,Artist,Low,1.0,Cat_6,B,29.0,3.0
466835,Male,Yes,No,Entertainment,Average,4.0,Cat_7,B,51.0,1.0
465192,Male,Yes,No,Artist,Low,1.0,Cat_6,A,55.0,0.0
463380,Female,Yes,Yes,Engineer,Low,1.0,Cat_3,A,69.0,1.0
462391,Female,No,No,Healthcare,Low,8.0,Cat_7,C,26.0,1.0
467086,Female,Yes,Yes,Lawyer,Low,3.0,Cat_6,A,83.0,0.0
460306,Female,No,Yes,Healthcare,Low,1.0,Cat_6,D,39.0,9.0
460752,Male,Yes,Yes,Artist,Low,1.0,Cat_6,A,35.0,9.0
467264,Male,Yes,No,Other,High,5.0,Cat_6,C,19.0,2.0
461646,Female,Yes,Yes,Artist,High,4.0,Cat_6,C,60.0,2.0
463570,Male,Yes,Yes,Artist,Average,4.0,Cat_6,C,35.0,2.0
465277,Female,No,Yes,Engineer,Low,1.0,Cat_6,B,53.0,4.0
466258,Female,No,No,Healthcare,Low,3.0,Cat_6,B,29.0,1.0
463719,Female,No,No,Doctor,Low,1.0,Cat_6,D,26.0,0.0
460032,Male,No,Yes,Engineer,Low,1.0,Cat_6,A,36.0,8.0
465175,Female,No,No,Other,Low,4.0,Cat_6,D,22.0,0.0
466610,Male,No,No,Other,Low,5.0,Cat_6,A,19.0,0.0
459036,Female,Yes,Yes,Lawyer,Average,3.0,Cat_3,A,20.0,1.0
464047,Male,No,Yes,Healthcare,Low,3.0,Cat_6,D,43.0,3.0
459496,Female,No,Yes,Artist,Low,3.0,Cat_6,A,42.0,8.0
459997,Male,No,Yes,Entertainment,Low,2.0,Cat_4,A,43.0,1.0
463382,Female,Yes,Yes,Engineer,High,3.0,Cat_6,B,50.0,4.0
460967,Male,No,Yes,Entertainment,Low,2.0,Cat_6,A,25.0,1.0
465094,Male,Yes,No,Artist,High,2.0,Cat_6,B,61.0,1.0
461229,Female,Yes,Yes,Healthcare,Average,2.0,Cat_6,A,28.0,0.0
466442,Male,No,Yes,Artist,Low,1.0,Cat_6,D,38.0,1.0
464527,Male,No,No,Executive,Low,3.0,Cat_6,A,25.0,12.0
463560,Female,No,No,Healthcare,Low,5.0,Cat_4,D,18.0,9.0
460011,Male,Yes,Yes,Entertainment,Average,5.0,Cat_5,C,43.0,1.0
467207,Female,No,Yes,Artist,Low,1.0,Cat_6,B,27.0,8.0
465177,Female,No,Yes,Entertainment,Low,2.0,Cat_6,D,60.0,1.0
467531,Male,Yes,Yes,Lawyer,Low,1.0,Cat_6,D,75.0,2.0
465409,Female,No,No,Doctor,Low,4.0,Cat_6,D,31.0,5.0
462842,Male,No,No,Doctor,Low,4.0,Cat_2,D,23.0,6.0
